allo-L-2-Amino-3-hydroxybutanoic acid (L-allo-Threonine),L-allo-Threonine,C[C@H](O)[C@H](N)C(O)=O
erythro-2-Amino-3-hydroxy-3-phenylpropanoic acid (erythro-Phenylserine),erythro-Phenylserine,
threo-2-Amino-3-hydroxy-3-phenylpropanoic acid (threo-Phenylserine),threo-Phenylserine,
L-2-Amino-4-hydroxybutanoic acid (Homoserine),Homoserine,N[C@@H](CCO)C(O)=O
DL-3-Amino-2-hydroxypropanoic acid (Isoserine),Isoserine,NCC(O)C(O)=O
DL-4-Amino-3-hydroxybutanoic acid,DL-4-Amino-3-hydroxybutanoic acid,
"L-trans-2-Amino-3-hydroxy-2,3-dihydrobenzoic acid","L-trans-2-Amino-3-hydroxy-2,3-dihydrobenzoic acid",
"D-gluco-2-Amino-3,4,5,6-tetrahydroxyhexanoic acid (D-Glucosaminic acid)",D-Glucosaminic acid,NC(C(O)C(O)C(O)CO)C(O)=O
DL-Amino-4-Methoxyphenylacetic acid (4-Methoxyphenylglycine),4-Methoxyphenylglycine,COc1ccc(NCC(O)=O)cc1
L-2-Aminobutanedioic acid 4-methyl ester (4-Methyl aspartate),4-Methyl aspartate,COC(=O)C[C@H](N)C([O-])=O
DL-2-Aminopentanedioic acid 5-ethyl ester (5-Ethyl glutamate),5-Ethyl glutamate,CCOC(=O)CC[C@H](N)C([O-])=O
L-2-Aminopentanedioic acid 5-benzyl ester (5-Benzyl glutamate),5-Benzyl glutamate,N[C@@H](CCC(=O)OCc1ccccc1)C([O-])=O
DL-2-Aminopentanedioic acid 1-ethyl ester (1-Ethyl glutamate),1-Ethyl glutamate,CCOC(=O)[C@@H](N)CCC([O-])=O
L-2-Aminobutanedioic acid 4-amide (Asparagine),Asparagine,N[C@@H](CC(N)=O)C(O)=O
L-2-Aminopentanedioic acid 5-amide (Glutamine),Glutamine,N[C@@H](CCC(N)=O)C(O)=O
L-2-Amino-6-(2-methylpropamido)hexanoic acid (N(6)-Isobutyroyl-L-lysine),L-2-Amino-6-(2-methylpropamido)hexanoic acid (N(6)-Isobutyroyl-L-lysine),
L-6-Amino-2-acetamidohexanoic acid (N(2)-Acetyl-L-lysine),L-6-Amino-2-acetamidohexanoic acid (N(2)-Acetyl-L-lysine),
L-2-Amino-6-acetamidohexanoic acid (N(6)-Acetyl-L-lysine),L-2-Amino-6-acetamidohexanoic acid (N(6)-Acetyl-L-lysine),
L-2-Amino-3-(oxalylamido)propanoic acid,L-2-Amino-3-(oxalylamido)propanoic acid,
N(6)-d-Biotinyl-L-lysine (d-Biocytin),d-Biocytin,
d-Biocytin sulfoxide,d-Biocytin sulfoxide,
d-Biocytin sulfone,d-Biocytin sulfone,
L-2-Amino-5-ureidopentanoic acid (Citrulline),Citrulline,
DL-2-Amino-3-methoxypropanoic acid (3-Methoxyalanine),3-Methoxyalanine,
L-2-Amino-3-(phenylmethoxy)propanoic acid (O-Benzylserine),O-Benzylserine,
