2-Mercaptoimidazole,2-Mercaptoimidazole,Sc1[nH]ccn1
N-Methyl-2-mercaptoimidazole,N-Methyl-2-mercaptoimidazole,Cn1ccnc1S
4-(2-Aminoethyl)-2-mercaptoimidazole (2-Mercaptohistamine),2-Mercaptohistamine,NCCc1c[nH]c(S)n1
L-Pyroglutamyl-L-histidine methyl ester,L-Pyroglutamyl-L-histidine methyl ester,COC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]2CCC(=O)N2
L-Pyroglutamyl-L-histidyl-L-proline amide,L-Pyroglutamyl-L-histidyl-L-proline amide,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H]3CCC(=O)N3
L-Pyroglutamyl-D-histidyl-L-proline amide,L-Pyroglutamyl-D-histidyl-L-proline amide,NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2c[nH]cn2)NC(=O)[C@@H]3CCC(=O)N3
Picolyl-L-histidyl-proline amide,Picolyl-L-histidyl-proline amide,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2c[nH]cn2)NCc3ccccn3
Phenylmethyloxycarbonylglycylglycyl-L-histidine methyl ester,Phenylmethyloxycarbonylglycylglycyl-L-histidine methyl ester,COC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)CNC(=O)OCc2ccccc2
Phenylmethyloxycarbonyl-L-prolyl-L-histidylglycinamide,Phenylmethyloxycarbonyl-L-prolyl-L-histidylglycinamide,NC(=O)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]2CCCN2C(=O)OCc3ccccc3
Phenylmethyloxycarbonylglycylglycyl-L-histidylglycylglycine ethyl ester,Phenylmethyloxycarbonylglycylglycyl-L-histidylglycylglycine ethyl ester,CCOC(=O)CNC(=O)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)CNC(=O)OCc2ccccc2
N-Cyano-N'-methyl-N''-[2-(5-methyl-4-imidazolylmethylthio)ethyl]guanidine (Cimetidine),Cimetidine,CN=C(NCCSCc1nc[nH]c1C)NC#N
2-Aminobenzimidazole,2-Aminobenzimidazole,Nc1[nH]c2ccccc2n1
2-(2-Aminoethyl)imidazole (Isohistamine),Isohistamine,NCCc1[nH]ccn1
4-(Aminomethyl)imidazole,4-(Aminomethyl)imidazole,NCc1c[nH]cn1
4-(2-Aminoethyl)imidazole (Histamine),Histamine,NCCc1c[nH]cn1
4-(2-Methylaminoethyl)imidazole,4-(2-Methylaminoethyl)imidazole,CNCCc1c[nH]cn1
4-(2-Dimethylaminoethyl)imidazole,4-(2-Dimethylaminoethyl)imidazole,CN(C)CCc1c[nH]cn1
L-4-(2-Amino-3-hydroxypropyl)imidazole (Histidinol),Histidinol,N[C@H](CO)Cc1c[nH]cn1
L-Histidine methyl ester,L-Histidine methyl ester,COC(=O)[C@@H](N)Cc1c[nH]cn1
2-Hydroxy-3-(4-imidazolyl)propanoic acid methyl ester,2-Hydroxy-3-(4-imidazolyl)propanoic acid methyl ester,COC(=O)C(O)Cc1c[nH]cn1
L-Histidinamide,L-Histidinamide,N[C@@H](Cc1c[nH]cn1)C(N)=O
N-Acetylhistamine,N-Acetylhistamine,CC(=O)NCCc1c[nH]cn1
Glycylhistamine,Glycylhistamine,NCC(=O)NCCc1c[nH]cn1
Glycylglycyl-L-histidine methyl ester,Glycylglycyl-L-histidine methyl ester,COC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)CN
Glycylglycyl-L-histidine methyl amide,Glycylglycyl-L-histidine methyl amide,CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)CN
Glycylglycyl-L-histidylglycylglycine ethyl ester,Glycylglycyl-L-histidylglycylglycine ethyl ester,CCOC(=O)CNC(=O)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)CN
"Pyridino[2,3-d]-1,3-diazole (4-Azabenzimidazole)",4-Azabenzimidazole,[nH]1cnc2cccnc12
2-(2-Pyridyl)imidazole,2-(2-Pyridyl)imidazole,[nH]1ccnc1c2ccccn2
4-(2-Pyridyl)imidazole,4-(2-Pyridyl)imidazole,[nH]1cnc(c1)c2ccccn2
"2,2'-Diimidazolyl","2,2'-Diimidazolyl",
Bis(2-imidazolyl)methane,Bis(2-imidazolyl)methane,C(c1[nH]ccn1)c2[nH]ccn2
"N,N'-Bis(4-imidazolylmethyl)ethylenediamine","N,N'-Bis(4-imidazolylmethyl)ethylenediamine",C(CNCc1c[nH]cn1)NCc2c[nH]cn2
"1,9-Di-4-imidazolyl-5-oxa-2,8-diazanonane","1,9-Di-4-imidazolyl-5-oxa-2,8-diazanonane",C(COCCNCc1c[nH]cn1)NCc2c[nH]cn2
"1,10-Di-4-imidazolyl-5,6-dithia-2,9-diazadecane","1,10-Di-4-imidazolyl-5,6-dithia-2,9-diazadecane",C(CSSCCNCc1c[nH]cn1)NCc2c[nH]cn2
"1,9-Di-4-imidazolyl-2,5,8-triazanonane (4-IMDIEN)",4-IMDIEN,
"1,11-Di-2-imidazolyl-2,6,10-triazaundecane (2-IMDPT)",2-IMDPT,
"1,11-Di-4-imidazolyl-2,6,10-triazaundecane (4-IMDPT)",4-IMDPT,
"5-Amino-3-methyl-1,2,4-thiadiazole","5-Amino-3-methyl-1,2,4-thiadiazole",Cc1nsc(N)n1
"1,2,3-Triazole","1,2,3-Triazole",[nH]1ccnn1
"4,5-Dibromo-1,2,3-triazole","4,5-Dibromo-1,2,3-triazole",Brc1[nH]nnc1Br
Benzotriazole,Benzotriazole,[nH]1nnc2ccccc12
"1,2,4-Triazole","1,2,4-Triazole",[nH]1cncn1
"1,2,4-Triazolidin-3,5-dione (Urazole)",Urazole,O=C1NNC(=O)N1
"3-Amino-1,2,4-triazole","3-Amino-1,2,4-triazole",Nc1n[nH]cn1
"4-Amino-1,2,4-triazole","4-Amino-1,2,4-triazole",Nn1cnnc1
"4-Amino-1,2,4-triazolidin-3,5-dione (Urazine)",Urazine,
"1,2,3,4-Thiatriazol-5-thiol","1,2,3,4-Thiatriazol-5-thiol",Sc1snnn1
Tetrazole,Tetrazole,[nH]1cnnn1
5-Methyltetrazole,5-Methyltetrazole,Cc1[nH]nnn1
5-Cyclopropyltetrazole,5-Cyclopropyltetrazole,C1CC1c2[nH]nnn2
5-Phenyltetrazole,5-Phenyltetrazole,[nH]1nnnc1c2ccccc2
5-Trifluoromethyltetrazole,5-Trifluoromethyltetrazole,FC(F)(F)c1[nH]nnn1
5-Hydroxytetrazole,5-Hydroxytetrazole,Oc1[nH]nnn1
5-Phenoxytetrazole,5-Phenoxytetrazole,[nH]1nnnc1Oc2ccccc2
5-Methylthiotetrazole,5-Methylthiotetrazole,CSc1[nH]nnn1
"1,4-Diazine-2-carboxylic acid (Pyrazinecarboxylic acid)",Pyrazinecarboxylic acid,OC(=O)c1cnccn1
"1,4-Diazine-2,3-dicarboxylic acid","1,4-Diazine-2,3-dicarboxylic acid",OC(=O)c1nccnc1C(O)=O
Pyridine (Azine),Azine,c1ccncc1
2-Methylpyridine (2-Picoline),2-Picoline,Cc1ccccn1
2-Ethylpyridine,2-Ethylpyridine,CCc1ccccn1
2-(Propyl)pyridine,2-(Propyl)pyridine,CCCc1ccccn1
3-Methylpyridine (3-Picoline),3-Picoline,Cc1cccnc1
3-Ethylpyridine,3-Ethylpyridine,CCc1cccnc1
4-Methylpyridine (4-Picoline),4-Picoline,Cc1ccncc1
4-Ethylpyridine,4-Ethylpyridine,CCc1ccncc1
4-(2-Methyl-2-propyl)pyridine,4-(2-Methyl-2-propyl)pyridine,CC(C)(C)c1ccncc1
"2,3-Dimethylpyridine (2,3-Lutidine)","2,3-Lutidine",Cc1cccnc1C
"2,4-Dimethylpyridine (2,4-Lutidine)","2,4-Lutidine",Cc1ccnc(C)c1
"2,5-Dimethylpyridine (2,5-Lutidine)","2,5-Lutidine",Cc1ccc(C)nc1
"2,6-Dimethylpyridine (2,6-Lutidine)","2,6-Lutidine",Cc1cccc(C)n1
"3,4-Dimethylpyridine (3,4-Lutidine)","3,4-Lutidine",Cc1ccncc1C
"3,5-Dimethylpyridine (3,5-Lutidine)","3,5-Lutidine",Cc1cncc(C)c1
5-Ethyl-2-methylpyridine,5-Ethyl-2-methylpyridine,CCc1ccc(C)nc1
3-Ethyl-4-methylpyridine,3-Ethyl-4-methylpyridine,CCc1cnccc1C
"2,3,6-Trimethylpyridine (2,3,6-Collidine)","2,3,6-Collidine",Cc1ccc(C)c(C)n1
"2,4,6-Trimethylpyridine (2,4,6-Collidine)","2,4,6-Collidine",Cc1cc(C)nc(C)c1
2-Vinylpyridine,2-Vinylpyridine,C=Cc1ccccn1
2-Prop-2-enylpyridine (2-Allylpyridine),2-Allylpyridine,C=CCc1ccccn1
2-But-3-enylpyridine,2-But-3-enylpyridine,C=CCCc1ccccn1
2-Pent-4-enylpyridine,2-Pent-4-enylpyridine,C=CCCCc1ccccn1
4-Vinylpyridine,4-Vinylpyridine,C=Cc1ccncc1
2-Phenylpyridine,2-Phenylpyridine,c1ccc(cc1)c2ccccn2
3-Phenylpyridine,3-Phenylpyridine,c1ccc(cc1)c2cccnc2
4-Phenylpyridine,4-Phenylpyridine,c1ccc(cc1)c2ccncc2
2-Benzylpyridine,2-Benzylpyridine,C(c1ccccc1)c2ccccn2
3-Cyanopyridine,3-Cyanopyridine,N#Cc1cccnc1
3-(Cyanomethyl)pyridine,3-(Cyanomethyl)pyridine,N#CCc1cccnc1
4-Cyanopyridine,4-Cyanopyridine,N#Cc1ccncc1
"4-Cyano-2,6-dimethylpyridine","4-Cyano-2,6-dimethylpyridine",Cc1cc(cc(C)n1)C#N
2-Nitropyridine,2-Nitropyridine,[O-][N+](=O)c1ccccn1
3-Nitropyridine,3-Nitropyridine,[O-][N+](=O)c1cccnc1
4-Nitropyridine,4-Nitropyridine,[O-][N+](=O)c1ccncc1
"2,6-Dimethyl-3-nitropyridine","2,6-Dimethyl-3-nitropyridine",Cc1ccc(c(C)n1)[N+]([O-])=O
"2,6-Dimethyl-4-nitropyridine","2,6-Dimethyl-4-nitropyridine",Cc1cc(cc(C)n1)[N+]([O-])=O
"2,4,6-Trimethyl-3-nitropyridine","2,4,6-Trimethyl-3-nitropyridine",Cc1cc(C)c(c(C)n1)[N+]([O-])=O
2-Chloropyridine,2-Chloropyridine,Clc1ccccn1
3-Chloropyridine,3-Chloropyridine,Clc1cccnc1
4-Chloropyridine,4-Chloropyridine,Clc1ccncc1
"4-Chloro-2,6-dimethylpyridine","4-Chloro-2,6-dimethylpyridine",Cc1cc(Cl)cc(C)n1
2-Bromopyridine,2-Bromopyridine,Brc1ccccn1
3-Bromopyridine,3-Bromopyridine,Brc1cccnc1
4-Bromopyridine,4-Bromopyridine,Brc1ccncc1
"4-Bromo-2,6-dimethylpyridine","4-Bromo-2,6-dimethylpyridine",Cc1cc(Br)cc(C)n1
3-Iodopyridine,3-Iodopyridine,Ic1cccnc1
"2,6-Dimethylpyridine-3-sulfonic acid","2,6-Dimethylpyridine-3-sulfonic acid",Cc1ccc(c(C)n1)[S](O)(=O)=O
"2,6-Bis(2-methyl-2-propyl)-4-methylpyridine-3-sulfonic acid","2,6-Bis(2-methyl-2-propyl)-4-methylpyridine-3-sulfonic acid",Cc1cc(nc(c1[S](O)(=O)=O)C(C)(C)C)C(C)(C)C
"2-Hydroxypyridine (1,2-Dihydropyridin-2-one)","1,2-Dihydropyridin-2-one",O=C1NC=CC=C1
2-Hydroxypyridine-N-oxide,2-Hydroxypyridine-N-oxide,Oc1cccc[n+]1[O-]
3-Hydroxypyridine,3-Hydroxypyridine,Oc1cccnc1
"4-Hydroxypyridine (1,4-Dihydropyridin-4-one)","1,4-Dihydropyridin-4-one",O=C1C=CNC=C1
"1-Hydroxy-1,2-dihydropyridin-2-one","1-Hydroxy-1,2-dihydropyridin-2-one",ON1C=CC=CC1=O
"2,3-Dihydroxypyridine (3-Hydroxy-1,2-dihydropyridin-2-one) (3,2-HOPO)","3,2-HOPO",
"1-Methyl-3-hydroxy-1,2-dihydropyridin-2-one","1-Methyl-3-hydroxy-1,2-dihydropyridin-2-one",CN1C=CC=C(O)C1=O
"1-Butyl-2,3-dihydroxypyridine (1-Butyl-3-hydroxy-1,2-dihydropyridin-2-one)","1-Butyl-3-hydroxy-1,2-dihydropyridin-2-one",CCCCN1C=CC=C(O)C1=O
"3,4-Dihydroxypyridine (3-Hydroxy-1,4-dihydropyridin-4-one) (3,4-HOPO)","3,4-HOPO",
"2-Methyl-3,4-dihydroxypyridine (2-Methyl-3-hydroxy-1,4-dihydropyridin-4-one)","2-Methyl-3-hydroxy-1,4-dihydropyridin-4-one",CC1=C(O)C(=O)C=CN1
"1,2-Dimethyl-3,4-dihydroxypyridine (1,2-Dimethyl-3-hydroxy-1,4-dihydropyridin-4-one)","1,2-Dimethyl-3-hydroxy-1,4-dihydropyridin-4-one",CN1C=CC(=O)C(=C1C)O
"1,2-Diethyl-3,4-dihydroxypyridine (1,2-Diethyl-3-hydroxy-1,4-dihydropyridin-4-one)","1,2-Diethyl-3-hydroxy-1,4-dihydropyridin-4-one",CCN1C=CC(=O)C(=C1CC)O
"1-Ethyl-2-methyl-3,4-dihydroxypyridine (1-Ethyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one)","1-Ethyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one",CCN1C=CC(=O)C(=C1C)O
"1-Hexyl-2-methyl-3,4-dihydroxypyridine (1-Hexyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one)","1-Hexyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one",CCCCCCN1C=CC(=O)C(=C1C)O
"1,2-Dihydroxypyridin-2-one","1,2-Dihydroxypyridin-2-one",
3-Hydroxy-N-methylpyridinium (chloride),chloride,[Cl-]
5-Hydroxy-2-methylpyridine,5-Hydroxy-2-methylpyridine,Cc1ccc(O)cn1
3-Hydroxy-2-hydroxymethylpyridine,3-Hydroxy-2-hydroxymethylpyridine,OCc1ncccc1O
3-Hydroxy-4-hydroxymethylpyridine,3-Hydroxy-4-hydroxymethylpyridine,OCc1ccncc1O
"3-Hydroxy-4-hydroxymethyl-2,5-dimethylpyridine (Deoxypyridoxine)",Deoxypyridoxine,Cc1ncc(CO)c(C)c1O
"3-Hydroxy-4,5-bis(hydroxymethyl)-2-methylpyridine (Pyridoxine)",Pyridoxine,Cc1ncc(CO)c(CO)c1O
"3-Hydroxy-4,5-bis(hydroxymethyl)-2,6-dimethylpyridine (6-Methylpyridoxine)",6-Methylpyridoxine,
Pyridine-2-carboxaldehyde,Pyridine-2-carboxaldehyde,O=Cc1ccccn1
Pyridine-3-carboxaldehyde,Pyridine-3-carboxaldehyde,O=Cc1cccnc1
Pyridine-4-carboxaldehyde,Pyridine-4-carboxaldehyde,O=Cc1ccncc1
3-Methoxypyridine-2-carboxaldehyde,3-Methoxypyridine-2-carboxaldehyde,COc1cccnc1C=O
3-Methoxypyridine-4-carboxaldehyde,3-Methoxypyridine-4-carboxaldehyde,COc1cnccc1C=O
3-Hydroxypyridine-2-carboxaldehyde,3-Hydroxypyridine-2-carboxaldehyde,Oc1cccnc1C=O
3-Hydroxypyridine-4-carboxaldehyde,3-Hydroxypyridine-4-carboxaldehyde,Oc1cnccc1C=O
"3-Hydroxy-N,2,5-trimethyl-4-oxomethylpyridinium (chloride) (Deoxypyridoxal N-methochloride)",Deoxypyridoxal N-methochloride,
"3-Hydroxy-2,5-dimethylpyridine-4-carboxaldehyde (Deoxypyridoxal)",Deoxypyridoxal,
3-Hydroxy-5-hydroxymethyl-2-methylpyridine-4-carboxaldehyde (Pyridoxal),Pyridoxal,Cc1ncc(CO)c(C=O)c1O
5-Hydroxymethyl-2-methyl-3-methoxypyridine-4-carboxaldehyde (3-O-Methylpyridoxal),3-O-Methylpyridoxal,
3-Hydroxy-2-methyl-5-(2-carboxyethyl)pyridine-4-carboxaldehyde (5'-Carboxymethyl-5'-deoxypyridoxal),5'-Carboxymethyl-5'-deoxypyridoxal,
trans-3-Hydroxy-2-methyl-5-(2-carboxyethenyl)pyridine-4-carboxaldehyde (5'-Carboxymethylene-5'-deoxypyridoxal),5'-Carboxymethylene-5'-deoxypyridoxal,
3-Hydroxy-4-hydroxymethyl-2-methyl-5-(2-carboxyethyl)pyridine (5'-Carboxymethyl-5'-deoxypyridoxine),5'-Carboxymethyl-5'-deoxypyridoxine,
3-Hydroxy-2-methyl-5-(2-sulfonoethyl)pyridine-4-carboxaldehyde (5'-Sulfuryl-5'-deoxypyridoxal),5'-Sulfuryl-5'-deoxypyridoxal,
Pyridoxal-5'-(hydrogensulphate),hydrogensulphate,O[S]([O-])(=O)=O
Pyridoxal-5'-(dihydrogenphosphate),dihydrogenphosphate,O[P](O)([O-])=O
"4-Aminomethyl-3-hydroxy-2,5-dimethylpyridine (5-Deoxypyridoxamine)",5-Deoxypyridoxamine,
4-Aminomethyl-3-hydroxy-5-hydroxymethyl-2-methylpyridine (Pyridoxamine),Pyridoxamine,Cc1ncc(CO)c(CN)c1O
Pyridoxamine-5'-(dihydrogenphosphate),dihydrogenphosphate,O[P](O)([O-])=O
5-Aminomethyl-3-hydroxy-4-hydroxymethyl-2-methylpyridine-4'-(dihydrogenphosphate) (Isopyridoxaminephosphate),Isopyridoxaminephosphate,
"1,3-Dihydroxy-4-(2-pyridylazo)benzene (PAR)",PAR,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](O[C@@H]2CO)O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)[C@H](N)[C@@H](O)[C@@H]1O
2-(2-Pyridylazo)-1-naphthol-4-sulfonic acid (1-PAN-4S),1-PAN-4S,
2-(Hydroxymethyl)pyridine,2-(Hydroxymethyl)pyridine,OCc1ccccn1
2-(Hydroxymethyl)-6-methylpyridine,2-(Hydroxymethyl)-6-methylpyridine,Cc1cccc(CO)n1
2-(2-Hydroxyethyl)pyridine,2-(2-Hydroxyethyl)pyridine,OCCc1ccccn1
2-(2-Hydroxyethyl)-6-methylpyridine,2-(2-Hydroxyethyl)-6-methylpyridine,Cc1cccc(CCO)n1
2-(2-Hydroxypropyl)pyridine,2-(2-Hydroxypropyl)pyridine,CC(O)Cc1ccccn1
2-(2-Hydroxy-2-phenylethyl)pyridine,2-(2-Hydroxy-2-phenylethyl)pyridine,OC(Cc1ccccn1)c2ccccc2
2-(3-Hydroxypropyl)pyridine,2-(3-Hydroxypropyl)pyridine,OCCCc1ccccn1
2-(4-Hydroxybutyl)pyridine,2-(4-Hydroxybutyl)pyridine,OCCCCc1ccccn1
2-(5-Hydroxypentyl)pyridine,2-(5-Hydroxypentyl)pyridine,OCCCCCc1ccccn1
3-(Hydroxymethyl)pyridine,3-(Hydroxymethyl)pyridine,OCc1cccnc1
3-(2-Hydroxyethyl)pyridine,3-(2-Hydroxyethyl)pyridine,OCCc1cccnc1
3-(3-Hydroxypropyl)pyridine,3-(3-Hydroxypropyl)pyridine,OCCCc1cccnc1
3-(4-Hydroxybutyl)pyridine,3-(4-Hydroxybutyl)pyridine,OCCCCc1cccnc1
3-(5-Hydroxypentyl)pyridine,3-(5-Hydroxypentyl)pyridine,OCCCCCc1cccnc1
4-(Hydroxymethyl)pyridine,4-(Hydroxymethyl)pyridine,OCc1ccncc1
4-(2-Hydroxyethyl)pyridine,4-(2-Hydroxyethyl)pyridine,OCCc1ccncc1
4-(3-Hydroxypropyl)pyridine,4-(3-Hydroxypropyl)pyridine,OCCCc1ccncc1
4-(4-Hydroxybutyl)pyridine,4-(4-Hydroxybutyl)pyridine,OCCCCc1ccncc1
4-(5-Hydroxypentyl)pyridine,4-(5-Hydroxypentyl)pyridine,OCCCCCc1ccncc1
"2,6-Bis(hydroxymethyl)pyridine","2,6-Bis(hydroxymethyl)pyridine",OCc1cccc(CO)n1
3-Methoxypyridine,3-Methoxypyridine,COc1cccnc1
4-Methoxypyridine,4-Methoxypyridine,COc1ccncc1
"2,6-Dimethyl-4-methoxypyridine","2,6-Dimethyl-4-methoxypyridine",COc1cc(C)nc(C)c1
"2,2,2',5'-Tetramethyl-1,3-dioxano[4,5-c]pyridine (5-Deoxyisopropylidenepyridoxine)",5-Deoxyisopropylidenepyridoxine,
"2,2,2'-Trimethyl-5'-hydroxymethyl-1,3-dioxano[4,5-c]pyridine (Isopropylidenepyridoxine)",Isopropylidenepyridoxine,
"Pyridine-2,6-dicarboxaldehyde","Pyridine-2,6-dicarboxaldehyde",O=Cc1cccc(C=O)n1
2-Acetylpyridine,2-Acetylpyridine,CC(=O)c1ccccn1
3-Acetylpyridine,3-Acetylpyridine,CC(=O)c1cccnc1
4-Acetylpyridine,4-Acetylpyridine,CC(=O)c1ccncc1
"3-Acetyl-2,4,6-trimethylpyridine","3-Acetyl-2,4,6-trimethylpyridine",CC(=O)c1c(C)cc(C)nc1C
Pyridine-2-carboxylic acid methyl ester (Picolinic acid methyl ester),Picolinic acid methyl ester,COC(=O)c1ccccn1
Pyridine-3-carboxylic acid methyl ester (Nicotinic acid methyl ester),Nicotinic acid methyl ester,COC(=O)c1cccnc1
Pyridine-4-carboxylic acid methyl ester (Isonicotinic acid methyl ester),Isonicotinic acid methyl ester,COC(=O)c1ccncc1
"2,6-Dimethylpyridine-4-carboxylic acid ethyl ester","2,6-Dimethylpyridine-4-carboxylic acid ethyl ester",CCOC(=O)c1cc(C)nc(C)c1
Pyridine-2-carboxylic acid amide (Picolinamide),Picolinamide,NC(=O)c1ccccn1
Pyridine-3-carboxylic acid amide (Nicotinamide),Nicotinamide,NC(=O)c1cccnc1
Pyridine-3-carboxylic acid methylamide,Pyridine-3-carboxylic acid methylamide,CNC(=O)c1cccnc1
Pyridine-3-carboxylic acid hydroxymethylamide,Pyridine-3-carboxylic acid hydroxymethylamide,OCNC(=O)c1cccnc1
Pyridine-4-carboxylic acid amide (Isonicotinamide),Isonicotinamide,NC(=O)c1ccncc1
2-Pyridylacetic acid amide,2-Pyridylacetic acid amide,NC(=O)Cc1ccccn1
3-Pyridylacetic acid amide,3-Pyridylacetic acid amide,NC(=O)Cc1cccnc1
4-Pyridylacetic acid amide,4-Pyridylacetic acid amide,NC(=O)Cc1ccncc1
3-(2-Pyridyl)propanoic acid amide,3-(2-Pyridyl)propanoic acid amide,NC(=O)CCc1ccccn1
3-(3-Pyridyl)propanoic acid amide,3-(3-Pyridyl)propanoic acid amide,NC(=O)CCc1cccnc1
3-(4-Pyridyl)propanoic acid amide,3-(4-Pyridyl)propanoic acid amide,NC(=O)CCc1ccncc1
4-(2-Pyridyl)butanoic acid amide,4-(2-Pyridyl)butanoic acid amide,NC(=O)CCCc1ccccn1
4-(3-Pyridyl)butanoic acid amide,4-(3-Pyridyl)butanoic acid amide,NC(=O)CCCc1cccnc1
4-(4-Pyridyl)butanoic acid amide,4-(4-Pyridyl)butanoic acid amide,NC(=O)CCCc1ccncc1
5-(2-Pyridyl)pentanoic acid amide,5-(2-Pyridyl)pentanoic acid amide,NC(=O)CCCCc1ccccn1
5-(3-Pyridyl)pentanoic acid amide,5-(3-Pyridyl)pentanoic acid amide,NC(=O)CCCCc1cccnc1
5-(4-Pyridyl)pentanoic acid amide,5-(4-Pyridyl)pentanoic acid amide,NC(=O)CCCCc1ccncc1
2-(Acetamido)pyridine,2-(Acetamido)pyridine,CC(=O)Nc1ccccn1
3-(Acetamido)pyridine,3-(Acetamido)pyridine,CC(=O)Nc1cccnc1
Pyridine-2-carboxylic acid hydrazide (Picolinoylhydrazide),Picolinoylhydrazide,
Pyridine-3-carboxylic acid hydrazide (Nicotinoylhydrazide),Nicotinoylhydrazide,
Pyridine-4-carboxylic acid hydrazide (Isonicotinoylhydrazide),Isonicotinoylhydrazide,NNC(=O)c1ccncc1
Pyridine-4-carboxylic acid 1-methylhydrazide (1-Isonicotinoyl-1-methylhydrazide),1-Isonicotinoyl-1-methylhydrazide,
Pyridine-4-carboxylic acid 2-methylhydrazide (1-Isonicotinoyl-2-methylhydrazide),1-Isonicotinoyl-2-methylhydrazide,
N-(2-Pyridylmethyl)oxamide,N-(2-Pyridylmethyl)oxamide,NC(=O)C(=O)NCc1ccccn1
Pyridine-3-hydroxamic acid,Pyridine-3-hydroxamic acid,ONC(=O)c1cccnc1
Pyridine-2-carboxaldehyde oxime,Pyridine-2-carboxaldehyde oxime,ON=Cc1ccccn1
1-(2-Pyridyl)ethanone oxime,1-(2-Pyridyl)ethanone oxime,CC(=NO)c1ccccn1
6-Methylpyridine-2-carboxaldehyde oxime,6-Methylpyridine-2-carboxaldehyde oxime,Cc1cccc(C=NO)n1
Pyridine-3-carboxaldehyde oxime,Pyridine-3-carboxaldehyde oxime,ON=Cc1cccnc1
Pyridine-4-carboxaldehyde oxime,Pyridine-4-carboxaldehyde oxime,ON=Cc1ccncc1
"Pyridine-2,6-dicarboxaldehyde dioxime","Pyridine-2,6-dicarboxaldehyde dioxime",ON=Cc1cccc(C=NO)n1
2-Mercaptopyridine-N-oxide,2-Mercaptopyridine-N-oxide,[O-][n+]1ccccc1S
2-(Methylsulfonamidomethyl)pyridine,2-(Methylsulfonamidomethyl)pyridine,C[S](=O)(=O)NCc1ccccn1
2-(Methylthiomethyl)pyridine,2-(Methylthiomethyl)pyridine,CSCc1ccccn1
2-[Ethylthiomethyl]pyridine,2-[Ethylthiomethyl]pyridine,CCSCc1ccccn1
2-[2-(Methylthio)ethyl]pyridine,2-[2-(Methylthio)ethyl]pyridine,CSCCc1ccccn1
2-[2-(Ethylthio)ethyl]pyridine,2-[2-(Ethylthio)ethyl]pyridine,CCSCCc1ccccn1
2-[2-Hydroxyethylthiomethyl]pyridine,2-[2-Hydroxyethylthiomethyl]pyridine,OCCSCc1ccccn1
2-[2-(2-Hydroxyethylthio)ethyl]pyridine,2-[2-(2-Hydroxyethylthio)ethyl]pyridine,OCCSCCc1ccccn1
2-[2-Aminoethylthiomethyl]pyridine,2-[2-Aminoethylthiomethyl]pyridine,NCCSCc1ccccn1
2-[3-Aminopropylthiomethyl]pyridine,2-[3-Aminopropylthiomethyl]pyridine,NCCCSCc1ccccn1
2-[2-(2-Aminoethylthio)ethyl]pyridine,2-[2-(2-Aminoethylthio)ethyl]pyridine,NCCSCCc1ccccn1
2-[2-(3-Aminopropylthio)ethyl]pyridine,2-[2-(3-Aminopropylthio)ethyl]pyridine,NCCCSCCc1ccccn1
2-(2-Thienyl)pyridine,2-(2-Thienyl)pyridine,s1cccc1c2ccccn2
3-(2-Thienyl)pyridine,3-(2-Thienyl)pyridine,s1cccc1c2cccnc2
4-(2-Thienyl)pyridine,4-(2-Thienyl)pyridine,s1cccc1c2ccncc2
2-(3-Thienyl)pyridine,2-(3-Thienyl)pyridine,s1ccc(c1)c2ccccn2
3-(3-Thienyl)pyridine,3-(3-Thienyl)pyridine,s1ccc(c1)c2cccnc2
4-(3-Thienyl)pyridine,4-(3-Thienyl)pyridine,s1ccc(c1)c2ccncc2
"2-(2-Pyridyl)-1,3-thiazole","2-(2-Pyridyl)-1,3-thiazole",s1ccnc1c2ccccn2
"4-(2-Pyridyl)-1,3-thiazole","4-(2-Pyridyl)-1,3-thiazole",s1cnc(c1)c2ccccn2
"5-(2-Pyridyl)-1,3-thiazole","5-(2-Pyridyl)-1,3-thiazole",s1cncc1c2ccccn2
2-Aminopyridine,2-Aminopyridine,Nc1ccccn1
2-Amino-3-methylpyridine,2-Amino-3-methylpyridine,Cc1cccnc1N
2-Amino-4-methylpyridine,2-Amino-4-methylpyridine,Cc1ccnc(N)c1
2-Amino-5-methylpyridine,2-Amino-5-methylpyridine,Cc1ccc(N)nc1
